Feature,Score
customerID_2419-FSORS,0.010314934574811474
customerID_9835-ZIITK,0.010302000655717514
customerID_4195-PNGZS,0.010292475703861603
customerID_2320-JRSDE,0.010286695610459029
customerID_9847-HNVGP,0.010284366432311787
customerID_9953-ZMKSM,0.010267106135889437
customerID_1571-SAVHK,0.010264280795309721
customerID_9253-QXKBE,0.010256145245453263
customerID_7874-ECPQJ,0.01025468566320309
customerID_4488-PSYCG,0.010240359595924176
customerID_1302-TPUBN,0.010237786686771333
customerID_1374-DMZUI,0.010231814951128237
customerID_5088-QZLRL,0.010221456113859162
customerID_8443-WVPSS,0.010219798450990192
customerID_4393-OBCRR,0.010206904583233367
customerID_2637-FKFSY,0.01020527558979567
customerID_8573-JGCZW,0.010186386302797112
customerID_8263-JQAIK,0.010168382243321838
customerID_0637-YLETY,0.01014416163431986
customerID_3721-CNEYS,0.010130576606294461
customerID_9442-JTWDL,0.010016651438411683
customerID_8035-PWSEV,0.00999991546382395
customerID_6619-RPLQZ,0.009995315792411308
customerID_6993-OHLXR,0.009966519451848344
customerID_1905-OEILC,0.009962503887640972
customerID_0374-IOEGQ,0.009960546381470703
customerID_0023-XUOPT,0.009946674180963733
customerID_4238-JSSWH,0.009935644251643616
customerID_3768-NLUBH,0.009918457092848332
customerID_8205-OTCHB,0.009872290142183271
customerID_4299-OPXEJ,0.00986301151050939
customerID_9576-SYUHJ,0.009855103529152531
customerID_2025-JKFWI,0.009855033925410872
customerID_2115-BFTIW,0.009846311137030384
customerID_9402-ROUMJ,0.009841862913318122
customerID_0336-PIKEI,0.009837479346844757
customerID_2990-OGYTD,0.009822573558651682
customerID_9058-HRZSV,0.009790157220584295
customerID_5115-GZDEL,0.009759623915527316
customerID_1820-DJFPH,0.009749577655561392
customerID_6551-ZCOTS,0.009745116150543742
customerID_3315-IKYZQ,0.009739815182361555
customerID_6772-WFQRD,0.00971046087792593
customerID_8894-JVDCV,0.009698266698250357
customerID_7359-SSBJK,0.009696170489257971
customerID_1240-KNSEZ,0.009690845234499257
customerID_5092-STPKP,0.009688677876535934
customerID_8904-OPDCK,0.009654959516034456
customerID_1640-PLFMP,0.009645733402562806
customerID_6872-HXFNF,0.009639029264081778
customerID_7683-CBDKJ,0.009638437882527384
customerID_4673-KKSLS,0.009622366293837281
customerID_2792-VPPET,0.009617989916006042
customerID_1839-UMACK,0.009610784631630231
customerID_1545-ACTAS,0.009580664396979133
customerID_3424-NMNBO,0.00957686978147243
customerID_7010-ZMVBF,0.00957012287037795
customerID_8133-ANHHJ,0.009568060854480143
customerID_9741-YLNTD,0.009557228038471921
customerID_3946-JEWRQ,0.009550538873059677
customerID_1926-QUZNN,0.00955040562031062
customerID_2969-QWUBZ,0.00954843772652203
customerID_9885-CSMWE,0.00953136578581737
customerID_0917-EZOLA,0.00952870641937853
customerID_8106-GWQOK,0.009523072467140015
customerID_9720-JJJOR,0.009499925898131645
customerID_3654-ARMGP,0.009492803098321234
customerID_1174-FGIFN,0.009483385738782601
customerID_7473-ZBDSN,0.009474816421837673
customerID_1432-FPAXX,0.009473520169536176
customerID_1907-UBQFC,0.009471359425880843
customerID_7603-USHJS,0.00946194996835592
customerID_9805-FILKB,0.00945420226038629
customerID_4338-EYCER,0.00945137170214716
customerID_6994-ORCWG,0.009437023173446857
customerID_1088-CNNKB,0.009436012489770773
customerID_6258-NGCNG,0.009394290902563718
customerID_5730-DBDSI,0.009367451333849086
customerID_3396-DKDEL,0.009366394949658297
customerID_5458-CQJTA,0.009363997118019052
customerID_3923-CSIHK,0.009358930628563522
customerID_1428-GTBJJ,0.009355814397535855
customerID_0471-LVHGK,0.009349348879160058
customerID_6137-NICCO,0.009324829311686766
customerID_1591-MQJTP,0.009324161295143352
customerID_8630-FJLIB,0.009314904198193696
customerID_3001-CBHLQ,0.009314009122652456
customerID_7568-PODML,0.009312804274429043
customerID_6490-FGZAT,0.009304895157718374
customerID_4760-XOHVN,0.009298927060588547
customerID_8250-ZNGGW,0.009289201340391351
customerID_7693-LCKZL,0.009286254873315691
customerID_9577-WJVCQ,0.009268981465899273
customerID_2150-OEGBV,0.009233018352844846
customerID_8590-YFFQO,0.009216244529102191
customerID_6661-HBGWL,0.009208646016323208
customerID_0365-TRTPY,0.009203771804049854
customerID_1960-UYCNN,0.009202222969929785
customerID_4062-HBMOS,0.009193606606106686
customerID_0112-QWPNC,0.009188468744192768
customerID_7047-FWEYA,0.00918587368458601
customerID_5787-KXGIY,0.009185074071068833
customerID_6519-ZHPXP,0.009176479018130568
customerID_0281-CNTZX,0.009172552021652125
customerID_1010-DIAUQ,0.009149644263694245
customerID_9588-OZDMQ,0.009127485645203937
customerID_4704-ERYFC,0.009124677662381897
customerID_3283-WCWXT,0.009123622796716857
customerID_7269-JISCY,0.009121820518670498
